,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address,price
0,89x1vJMamQTfazh2Gu1vzg,daves-hot-chicken-brooklyn-3,Dave's Hot Chicken,https://s3-media4.fl.yelpcdn.com/bphoto/26Er_HbiscM0WCflsjltlg/o.jpg,False,https://www.yelp.com/biz/daves-hot-chicken-brooklyn-3?adjust_creative=cvKvtsMbh1ZdKziz4o0JmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cvKvtsMbh1ZdKziz4o0JmQ,1,"[{'alias': 'halal', 'title': 'Halal'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]",5.0,"['pickup', 'delivery']",+13474280288,(347) 428-0288,1747.4703726405596,40.69291357,-73.98843654,345 Adams St,,,Brooklyn,11201,US,NY,"['345 Adams St', 'Brooklyn, NY 11201']",
1,M-qzhH4KrL2GnpCKx0EW6Q,chunky-boss-new-york,Chunky Boss,https://s3-media1.fl.yelpcdn.com/bphoto/L6F8SRysTdlAuMCSh7sC2g/o.jpg,False,https://www.yelp.com/biz/chunky-boss-new-york?adjust_creative=cvKvtsMbh1ZdKziz4o0JmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cvKvtsMbh1ZdKziz4o0JmQ,21,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]",4.0,[],,,5176.855746142506,40.75336,-73.97435,129 E 45th St,,,New York,10017,US,NY,"['129 E 45th St', 'New York, NY 10017']",
2,HgEwORU1LJyrFVE_ll_pDg,kam-rai-astoria,KAM RAI,https://s3-media1.fl.yelpcdn.com/bphoto/fmfpkB7sCcA6xO77_NfFvg/o.jpg,False,https://www.yelp.com/biz/kam-rai-astoria?adjust_creative=cvKvtsMbh1ZdKziz4o0JmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cvKvtsMbh1ZdKziz4o0JmQ,24,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'thai', 'title': 'Thai'}]",5.0,"['pickup', 'delivery']",+19295220999,(929) 522-0999,8597.104341726596,40.7643253,-73.9107518,43-11 28th Ave,,,Astoria,11103,US,NY,"['43-11 28th Ave', 'Astoria, NY 11103']",
3,JeUUdGHr_1O1zm644pUu3w,mimi-chengs-brooklyn,Mimi Cheng's,https://s3-media3.fl.yelpcdn.com/bphoto/j1t7GOZRLs_bi8xpHUJnOA/o.jpg,False,https://www.yelp.com/biz/mimi-chengs-brooklyn?adjust_creative=cvKvtsMbh1ZdKziz4o0JmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cvKvtsMbh1ZdKziz4o0JmQ,11,"[{'alias': 'taiwanese', 'title': 'Taiwanese'}]",4.5,"['pickup', 'delivery']",+19179091239,(917) 909-1239,2230.163156148944,40.68934,-73.99178,224 Atlantic Ave,,,Brooklyn,11201,US,NY,"['224 Atlantic Ave', 'Brooklyn, NY 11201']",
4,V58fRNPGjNFHqGDgtq7PEw,bb-q-chicken-park-slope-brooklyn,bb.q Chicken Park Slope,https://s3-media4.fl.yelpcdn.com/bphoto/bGLJfwezBD517FuXzh-hzg/o.jpg,False,https://www.yelp.com/biz/bb-q-chicken-park-slope-brooklyn?adjust_creative=cvKvtsMbh1ZdKziz4o0JmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cvKvtsMbh1ZdKziz4o0JmQ,16,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'korean', 'title': 'Korean'}]",4.5,"['pickup', 'delivery']",+19296234283,(929) 623-4283,2809.9170480668263,40.681768,-73.977121,46 5th Ave,,,Brooklyn,11217,US,NY,"['46 5th Ave', 'Brooklyn, NY 11217']",
5,Ve_YFyWRgtfYz0C0LQB7Xw,market-57-new-york,Market 57,https://s3-media4.fl.yelpcdn.com/bphoto/nruSws_21PPE41UQz99SXQ/o.jpg,False,https://www.yelp.com/biz/market-57-new-york?adjust_creative=cvKvtsMbh1ZdKziz4o0JmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cvKvtsMbh1ZdKziz4o0JmQ,18,"[{'alias': 'food_court', 'title': 'Food Court'}, {'alias': 'eventplanning', 'title': 'Party & Event Planning'}]",4.5,[],+16465881617,(646) 588-1617,4744.855481424292,40.74301,-74.00838,25 11th Ave,,,New York,10011,US,NY,"['25 11th Ave', 'New York, NY 10011']",
6,k0YxAqybUffN882YanXl1A,panzón-brooklyn,Panzón,https://s3-media1.fl.yelpcdn.com/bphoto/Ci8I-opOK2ctK_zx2yjIVw/o.jpg,False,https://www.yelp.com/biz/panz%C3%B3n-brooklyn?adjust_creative=cvKvtsMbh1ZdKziz4o0JmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cvKvtsMbh1ZdKziz4o0JmQ,17,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,[],,,3016.4890810344764,40.729804293177196,-73.9598466095408,23 Greenpoint Ave,,,Brooklyn,11222,US,NY,"['23 Greenpoint Ave', 'Brooklyn, NY 11222']",
7,tE3eLwTh5b_sasPHPmqz0A,shingane-new-york,Shingane,https://s3-media2.fl.yelpcdn.com/bphoto/RC5gxi8e-1TEztmHuL-PmQ/o.jpg,False,https://www.yelp.com/biz/shingane-new-york?adjust_creative=cvKvtsMbh1ZdKziz4o0JmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cvKvtsMbh1ZdKziz4o0JmQ,15,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'desserts', 'title': 'Desserts'}]",5.0,[],,,3558.409737293888,40.735744,-73.997674,480 6th Ave,,,New York,10011,US,NY,"['480 6th Ave', 'New York, NY 10011']",
8,s4ZurC1CMe_o1EIOfVWn4A,poulet-san-tete-new-york,Poulet San Tete,https://s3-media2.fl.yelpcdn.com/bphoto/6YQVzqWQeqc7RUMpZafvaA/o.jpg,False,https://www.yelp.com/biz/poulet-san-tete-new-york?adjust_creative=cvKvtsMbh1ZdKziz4o0JmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cvKvtsMbh1ZdKziz4o0JmQ,12,"[{'alias': 'chickenshop', 'title': 'Chicken Shop'}]",4.5,"['pickup', 'delivery']",+12124054105,(212) 405-4105,9188.179937312141,40.789527,-73.974081,590 Amsterdam Ave,,,New York,10024,US,NY,"['590 Amsterdam Ave', 'New York, NY 10024']",
9,SR3w3XVCgpUSwDk4sZzwZQ,nai-brother-chinese-sauerkraut-fish-long-island-city,Nai Brother Chinese Sauerkraut Fish,https://s3-media4.fl.yelpcdn.com/bphoto/FHRuLnQc9debNpH8BZK4eg/o.jpg,False,https://www.yelp.com/biz/nai-brother-chinese-sauerkraut-fish-long-island-city?adjust_creative=cvKvtsMbh1ZdKziz4o0JmQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cvKvtsMbh1ZdKziz4o0JmQ,13,"[{'alias': 'chinese', 'title': 'Chinese'}]",4.5,"['pickup', 'delivery']",,,5748.874825767797,40.74923,-73.93999,27-17 42nd Rd,,,Long Island City,11101,US,NY,"['27-17 42nd Rd', 'Long Island City, NY 11101']",
